Título,Calificación,Géneros,Espectadores
Twinkling Watermelon (2023),9.2,"Romance, Youth, Drama, Fantasy","86,749"
Move to Heaven (2021),9.1,"Life, Drama","105,409"
Hospital Playlist Season 2 (2021),9.1,"Romance, Life, Drama, Medical","71,742"
Weak Hero Class 1 (2022),9.1,"Action, Youth, Drama","92,750"
Nirvana in Fire (2015),9.1,"Military, Historical, Drama, Political","38,806"
Alchemy of Souls (2022),9.1,"Action, Historical, Romance, Fantasy","118,871"
Flower of Evil (2020),9.1,"Thriller, Romance, Crime, Melodrama","144,431"
Moving (2023),9.1,"Action, Thriller, Mystery, Supernatural","68,290"
Hospital Playlist (2020),9.1,"Friendship, Comedy, Life, Drama, Medical","113,356"
Lovely Runner (2024),9.0,"Music, Comedy, Romance, Fantasy","80,316"
Reply 1988 (2015),9.1,"Comedy, Romance, Life, Youth","118,002"
Reset (2022),9.0,"Thriller, Mystery, Sci-Fi","40,982"
Joy of Life (2019),9.0,"Mystery, Romance, Wuxia, Fantasy","29,623"
Mysterious Lotus Casebook (2023),9.0,"Mystery, Wuxia","19,111"
1 Litre no Namida (2005),9.0,"Romance, Drama, Melodrama","41,471"
My Mister (2018),9.0,"Psychological, Life, Drama","81,439"
Hidden Love (2023),9.0,"Comedy, Romance, Life, Youth","85,300"
The Untamed (2019),9.0,"Mystery, Wuxia, Fantasy","104,450"
When I Fly Towards You (2023),9.0,"Comedy, Romance, Youth","51,458"
Joy of Life Season 2 (2024),9.0,"Comedy, Romance, Wuxia, Fantasy","10,318"
Under the Queen's Umbrella (2022),9.0,"Historical, Comedy, Drama, Political","37,301"
Love Like the Galaxy: Part 2 (2022),9.0,"Historical, Mystery, Romance, Political","31,293"
Crash Landing on You (2019),9.0,"Military, Comedy, Romance, Political","200,255"
The Glory Part 2 (2023),9.0,"Thriller, Drama, Melodrama","78,783"
Love Like the Galaxy: Part 1 (2022),9.0,"Historical, Mystery, Romance, Political","41,686"
Mr. Queen (2020),9.0,"Historical, Comedy, Romance, Fantasy","98,968"
Oh No! Here Comes Trouble (2023),8.9,"Mystery, Comedy, Drama, Supernatural","13,864"
Prison Playbook (2017),8.9,"Comedy, Crime, Life, Drama","83,210"
Mother (2018),8.9,"Thriller, Mystery, Psychological, Melodrama","36,352"
