nombre,direccion,categorias,coordenadas,tag,temperatura,humedad,descripcion_clima
Coworking,"Calle Bruc, 42, Calders Catalunya",['Coworking Space'],"41.391672,2.173255",coworking,23.23,52,few clouds
IW Coworking,"Carrer de Pau Claris, 90 (Gran Via de les Corts Catalanes), 08010 Barcelona Catalunya",['Coworking Space'],"41.390296,2.170599",coworking,23.23,52,few clouds
MG Coworking,"Bruc, 168, Barcelona Catalunya",['Coworking Space'],"41.398883,2.163654",coworking,23.0,53,few clouds
Alparriuss Almazen,"Consell de Cent, 523, 08013 Barcelona Catalunya",['Coworking Space'],"41.402324,2.180315",coworking,23.17,52,few clouds
Itnig Coffice,"Pujades, 100 (Alaba), 08005 Barcelona Catalunya",['Coworking Space'],"41.396518,2.19417",coworking,23.3,53,few clouds
WeWork,"Calle Tánger, 86, 08018 Barcelona Catalunya",['Coworking Space'],"41.401784,2.192397",coworking,23.3,53,few clouds
The Social Hub Barcelona Poblenou,"Calle Cristobal de Moura, 49, 08019 Barcelona Catalunya",['Coworking Space'],"41.409996,2.204553",coworking,23.36,53,clear sky
Tenea Tecnologias,"Calle Estacio, 1 (Josep Pla), 08630 Abrera Catalunya",['Coworking Space'],"41.520912,1.898669",coworking,22.73,54,clear sky
860 Coworking,"Carrer del General Palafox, 8, 08860 Castelldefels Catalunya",['Coworking Space'],"41.286412,1.982342",coworking,23.33,33,few clouds
"Space & Co Muntaner 328, Coworking y Despachos Privados en Barcelona","Muntaner, 328 (Madrazo), 08021 Barcelona Catalunya",['Coworking Space'],"41.397742,2.144927",coworking,22.98,52,few clouds
Funky Bakers,"Carrer de la Diputació, 347, 08009 Barcelona Catalunya","['Café', 'Deli']","41.394916,2.172866",coworking,23.23,52,few clouds
Roast Club,"Carrer de València, 190 (C. de València), 08011 Barcelona Catalunya","['Coffee Shop', 'Restaurant']","41.387873,2.15717",coworking,23.11,53,few clouds
Three Marks Coffee,"Calle D'Ausiàs Marc, 151, 08013 Barcelona Catalunya","['Coffee Shop', 'Restaurant']","41.397168,2.183123",coworking,23.17,52,few clouds
Nømad Coffee Lab & Shop,"Pasatge Sert, 12 (C. de Trafalgar), 08003 Barcelona Catalunya","['Bar', 'Café', 'Coffee Shop']","41.388928,2.177136",coworking,23.31,53,few clouds
Churrería Laietana,"Vía Laietana, 46 (Sant Pere Més Baix), 08003 Barcelona Catalunya","['Bar', 'Café', 'Restaurant']","41.38645,2.175654",coworking,23.31,53,few clouds
Dalston Coffee,"Calle de Les Ramelleres, 16, 08001 Barcelona Catalunya","['Café', 'Coffee Shop', 'Restaurant']","41.384525,2.168502",coworking,23.28,52,few clouds
Gocce di latte,"Plaza de Palau, 4, 08003 Barcelona Catalunya","['Café', 'Ice Cream Parlor', 'Restaurant']","41.383197,2.182666",coworking,23.31,52,few clouds
El Petit Princep,"Gran Vía de Les Corts Catalanes, 677 (btwn c/ Nàpols & c/ Roger de Flor), 08013 Barcelona Catalunya","['Bakery', 'Café', 'Restaurant']","41.396371,2.177069",coworking,23.17,52,few clouds
Blackbird Coffee Corner,"Calle Valencia, 418, 08013 Barcelona Catalunya","['Coffee Shop', 'Restaurant']","41.401762,2.175735",coworking,23.17,52,few clouds
Cafés el Magnífico,"Argenteria, 64, 08003 Barcelona Catalunya","['Coffee Shop', 'Tea Room', 'Deli']","41.383493,2.181008",coworking,23.31,52,few clouds
La Esquina,"Bergara, 2 (C. Balmes), 08002 Barcelona Catalunya","['Cafe, Coffee, and Tea House', 'Comfort Food Restaurant', 'Mediterranean Restaurant']","41.385888,2.167912",coworking,23.23,52,few clouds
SlowMov,"Calle de Luis Antúnez, 18 (C. de Neptú), 08006 Barcelona Catalunya","['Coffee Shop', 'Restaurant']","41.398197,2.154796",coworking,22.99,52,few clouds
Citizen Café,"Plaza Urquinaona, 4, 08010 Barcelona Catalunya","['Bistro', 'Café', 'Coffee Shop']","41.389412,2.172787",coworking,23.23,52,few clouds
Hidden Café Barcelona,08003 Barcelona Catalunya,['Café'],"41.38277,2.18245",coworking,23.31,52,few clouds
Hidden Café Barcelona,"Carrer Déu I Mata, 62 Bajo (C. de Deu i Mata), 08029 Barcelona Catalunya","['Bar', 'Coffee Shop', 'Restaurant']","41.388386,2.13582",coworking,23.06,50,few clouds
Artisa Barcelona,"Carrer de Colom, 2 (La Rambla, Plaça Reial), 08002 Barcelona Catalunya","['Café', 'Coffee Shop', 'Restaurant']","41.379713,2.174874",coworking,23.28,52,few clouds
Espai Mescladis,"Calle Carders, 35, 08003 Barcelona Catalunya","['Coffee Shop', 'Vegan and Vegetarian Restaurant']","41.387073,2.180263",coworking,23.31,53,few clouds
Federal,"Carrer del Taulat, 109, 08005 Barcelona Catalunya","['Coffee Shop', 'Restaurant']","41.399656,2.205785",coworking,23.32,52,few clouds
BRKLYN Torrefaction,"Calle de Bac de Roda, 79 (C. de Pujades), 08005 Barcelona Catalunya","['Coffee Shop', 'Restaurant']","41.405841,2.205911",coworking,23.32,52,clear sky
EatMyTrip,"Carrer del Consell de Cent, 378 (C. de Girona), 08009 Barcelona Catalunya",['Café'],"41.395143,2.171475",coworking,23.15,52,few clouds
La Cala,"Calle l'Escar, 18, 08039 Barcelona Catalunya",['Café'],"41.376101,2.18773",coworking,23.36,52,few clouds
